incident_id,service,severity,status,root_cause,opened_at,resolved_at,mttr_minutes,sla_minutes,sla_breached,assigned_to,notes
INC-0001,notification-service,P3,Resolved,Upstream dependency failure,2025-04-19 09:10:31,2025-04-20 18:43:31,2013,1440,Yes,ANL-005,Incident on notification-service. Root cause: Upstream dependency failure.
INC-0002,payments-api,P2,In Progress,Upstream dependency failure,2025-06-30 17:06:48,,,240,No,ANL-005,Incident on payments-api. Root cause: Upstream dependency failure.
INC-0003,search-service,P1,Open,Disk space exhaustion,2025-06-21 05:18:39,,,60,No,ANL-005,Incident on search-service. Root cause: Disk space exhaustion.
INC-0004,reporting-engine,P2,Resolved,DDoS attack pattern,2025-08-04 19:53:50,2025-08-04 21:33:50,100,240,No,ANL-002,Incident on reporting-engine. Root cause: DDoS attack pattern.
INC-0005,reporting-engine,P4,Resolved,Database connection exhaustion,2025-10-06 19:51:38,2025-10-07 20:10:38,1459,4320,No,ANL-005,Incident on reporting-engine. Root cause: Database connection exhaustion.
INC-0006,search-service,P2,Resolved,Database connection exhaustion,2025-10-22 00:23:32,2025-10-22 06:30:32,367,240,Yes,ANL-005,Incident on search-service. Root cause: Database connection exhaustion.
INC-0007,auth-service,P2,Resolved,Upstream dependency failure,2025-02-24 00:36:07,2025-02-24 03:08:07,152,240,No,ANL-002,Incident on auth-service. Root cause: Upstream dependency failure.
INC-0008,payments-api,P4,Open,Disk space exhaustion,2025-08-04 21:48:12,,,4320,No,ANL-003,Incident on payments-api. Root cause: Disk space exhaustion.
INC-0009,database-cluster,P2,Resolved,Database connection exhaustion,2026-04-19 03:01:29,2026-04-19 06:52:29,231,240,No,ANL-005,Incident on database-cluster. Root cause: Database connection exhaustion.
INC-0010,database-cluster,P3,Resolved,CPU spike from batch job,2025-06-20 13:55:24,2025-06-22 03:02:24,2227,1440,Yes,ANL-001,Incident on database-cluster. Root cause: CPU spike from batch job.
INC-0011,payments-api,P2,Resolved,Misconfiguration after deploy,2025-02-21 09:50:42,2025-02-21 15:20:42,330,240,Yes,ANL-005,Incident on payments-api. Root cause: Misconfiguration after deploy.
INC-0012,inventory-service,P4,Open,Disk space exhaustion,2026-05-15 07:37:38,,,4320,No,ANL-002,Incident on inventory-service. Root cause: Disk space exhaustion.
INC-0013,search-service,P2,Open,Misconfiguration after deploy,2026-03-31 01:28:21,,,240,No,ANL-005,Incident on search-service. Root cause: Misconfiguration after deploy.
INC-0014,auth-service,P3,Resolved,Network packet loss,2025-03-12 14:40:27,2025-03-13 19:33:27,1733,1440,Yes,ANL-001,Incident on auth-service. Root cause: Network packet loss.
INC-0015,reporting-engine,P2,Open,Third-party API timeout,2025-02-19 08:14:32,,,240,No,ANL-004,Incident on reporting-engine. Root cause: Third-party API timeout.
INC-0016,search-service,P3,In Progress,Memory leak,2025-03-30 23:23:57,,,1440,No,ANL-003,Incident on search-service. Root cause: Memory leak.
INC-0017,reporting-engine,P4,Resolved,Certificate expiry,2025-12-19 10:01:22,2025-12-21 00:03:22,2282,4320,No,ANL-003,Incident on reporting-engine. Root cause: Certificate expiry.
INC-0018,payments-api,P4,In Progress,Misconfiguration after deploy,2026-05-12 06:52:54,,,4320,No,ANL-005,Incident on payments-api. Root cause: Misconfiguration after deploy.
INC-0019,search-service,P2,In Progress,CPU spike from batch job,2025-01-01 10:39:39,,,240,No,ANL-003,Incident on search-service. Root cause: CPU spike from batch job.
INC-0020,database-cluster,P3,Resolved,Upstream dependency failure,2025-02-14 23:48:12,2025-02-16 12:21:12,2193,1440,Yes,ANL-005,Incident on database-cluster. Root cause: Upstream dependency failure.
INC-0021,auth-service,P4,Resolved,CPU spike from batch job,2025-04-08 16:20:45,2025-04-14 10:51:45,8311,4320,Yes,ANL-004,Incident on auth-service. Root cause: CPU spike from batch job.
INC-0022,payments-api,P4,Resolved,CPU spike from batch job,2025-06-06 05:43:39,2025-06-11 15:39:39,7796,4320,Yes,ANL-004,Incident on payments-api. Root cause: CPU spike from batch job.
INC-0023,search-service,P4,Resolved,Network packet loss,2025-04-04 23:40:54,2025-04-06 23:34:54,2874,4320,No,ANL-002,Incident on search-service. Root cause: Network packet loss.
